CID,SMILES
5343112,CC1=C(C(=NN1)C)CCC(=O)N/N=C/C2=CC(=C(C=C2OC)OC)OC
6898109,C1=CC=C(C(=C1)/C=N/O)OCC2=CC=C(C=C2)Cl
5771511,CCCC1=C2C(C(=C(OC2=NN1)N)C#N)/C(=C/C3=CC=CC=C3)/C
2811009,C1=CSC(=C1)C(=O)NNC2=C(C=CC(=C2)Cl)Cl
3577877,CCC1=CC=CC=C1NC(=S)NCCSC2=CC=C(C=C2)Cl
1278179,C1CN(CCN1CC(=O)NC2=CC=CC(=C2)C(F)(F)F)C3=CC=CC=C3
577329,C1=CC=C(C=C1)C2=NN=C(O2)C3=CC(=CC=C3)[N+](=O)[O-]
9549474,CCCCCCCCCCN1C2=C(CCC2)C(=N)C3=C1CCC3.Br
5310636,CCCCCC1=CC(=C2C(=CC(=O)OC2=C1)C)O
5389343,C1=CC=C2C(=C1)NC(=C(C#N)C(=O)NC3=CC(=C(C=C3)Cl)Cl)N2
1251070,C1COCCN1C2=C(C=C(C=C2)NC(=O)CSC3=NN=NN3C4=CC=CC5=CC=CC=C54)Cl
931231,C1=CC=C(C=C1)CCC(=O)NC2=C(N=CC=C2)Cl
737730,CCN(CC)C(=O)C1=CC=CC=C1NC(=O)C2=CC=CC=C2C
916352,CCOC(=O)CSC1=NC2=C(C=CC=C2C(=N1)C)C
5057111,CC1=CC(=C(N1CC2CCCO2)C)C(=O)COC(=O)C3=CC=CC=C3Br
1302080,C1C2=C(C=C(C=C2)NC(=S)NC(=O)CCC3=CC=CC=C3)C(=O)O1
2809803,CN(C)C1=CC=C(C=C1)N2C(=NN=N2)SC3CC4=CC=CC=C4C3=O
16745929,C1=CC2=C(C=C1C(=O)N)N=C3N(C2=O)C(=CS3)C4=CC(=C(C(=C4)Cl)N)Cl
4027061,C1COCCN1CC(=O)NNC2=C3C=CC=CC3=NC4=CC=CC=C42
653225,CC1=CC(=CC(=C1)NC(=O)N2CCC(CC2)C3=NC4=CC=CC=C4O3)C
3104852,CC1CC(C(CN1CC2=CC=CC=C2)C)O
6382919,CC\1CCCC/C1=N\NC(=S)NCCC2=CC=CC=C2
1871672,CCCCCCNC(=O)C1=NC=NN1
1482887,CC(C)(C)C(=O)NC1=CC=CC2=C1C=NN2
970584,CCN1C=C(C=N1)CNC(=S)NC2=C(C(=CC=C2)Cl)C
946469,CCN1C2=NC3=C(C=CC=C3C=C2C(=N1)NC(=O)C4=CC=CC=C4)C
2121907,CC(C)(C)NC(=O)NC(=O)CN1CCC(=CC1)C2=CC=CC=C2
2738311,C1CCC(CC1)(CC(=O)NC2=C(C=C(C=C2)F)F)CC(=O)O
2741588,C1CN(CCN1C2=C(C=CC=N2)C(F)(F)F)C(=O)CCC(=O)O
16746505,COC1=CC=C(C=C1)C2CC(OC3=C2C(=CC(=C3)OC)OC)(C4=CC=CC=C4)O
6866330,CC(C)C1=CC=C(C=C1)/C=C(/C)\C=N\NC(=O)CSC2=CC=CC=N2
6603197,CC(C)CCOC1=C(C=C(C=C1)Cl)CN2CCOCC2.Cl
2280499,C1COCCN1CCCNC(=O)C2=C(C=C(C=C2)Cl)[N+](=O)[O-]
3580069,CC1=CC(=NN1CC(=O)C2=CC(=CC=C2)[N+](=O)[O-])C
4421191,C1CSC2=NC(C(=O)N21)(C(F)(F)F)NC(=O)C3=CC=CC=C3F
4012037,C1=CC=C2C(=C1)C3=C(O2)C(=NC=N3)SCC4=CC=CO4
942117,CC1=C2C(=CC=C1)C=C(C(=O)N2)COC(=O)C3=CC(=CC=C3)[N+](=O)[O-]
135650126,C=CCN1C(=C(SC1=S)/C=C/2\C=NN=C2C3=CC=CC=C3)O
16681806,CN1C2=CC=CC=C2[N+](=C1C3=CC=CC=C3[N+](=O)[O-])C.[Cl-]
885768,CC(C)C(=O)NC1=CC(=CC(=C1)OC)OC
2948220,CC1=CC=C(C=C1)SC(C)C(=O)NC2=CC(=CC=C2)SC
1390460,C1=CC=C(C=C1)/C=C/C=C\2/C(=O)N(C(=O)S2)CC(=O)NC3=CC=C(C=C3)O
901293,CN1C=NC(=C1S(=O)(=O)C2=CC(=CC=C2)Cl)[N+](=O)[O-]
1688,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=C(C=C3)Cl
931631,C1=CC=C(C(=C1)CSC2=NN=C(N2N)C3=CN=CC=C3)F
2106314,CC1=CC=C(C=C1)OCCC(=O)OCC(=O)NC2=NC=C(C=C2)Cl
